auroc,npv,ppv,recall,specificity
0.426639883,0.7374,0.1859,0.2728,0.631
0.499002189,0.7624,0.2308,0.2177,0.7758
0.591337938,0.7869,0.3134,0.304,0.7942
0.667339738,0.8065,0.3767,0.3703,0.8107
0.724454693,0.8247,0.4213,0.441,0.8128
0.747018596,0.8411,0.4423,0.51,0.8013
0.768556477,0.8486,0.4549,0.5377,0.8009
0.780783754,0.8489,0.4757,0.5273,0.8204
0.801945161,0.8646,0.5087,0.5811,0.8266
0.810297932,0.8756,0.4949,0.6318,0.8008
0.820363577,0.8785,0.5048,0.6392,0.8062
0.824093164,0.8831,0.5022,0.6578,0.7985
0.834103055,0.8882,0.5205,0.6704,0.8092
0.838503254,0.8893,0.5312,0.6709,0.8171
0.839906243,0.8889,0.5389,0.667,0.8237
0.837198378,0.8902,0.5287,0.6752,0.814
0.843731562,0.8916,0.5402,0.6765,0.8221
0.848481651,0.8988,0.5376,0.7038,0.8129
0.845974312,0.8925,0.5418,0.6795,0.8225
0.850929983,0.8949,0.5443,0.6873,0.8222